StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q38,Q39,Q37,Q40,Q36,Q3,Q4,Q5,Q6,Q7,8B,9B,10B,11B,12B,13B,14B,15B,16B,17B,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,SC0
2020-07-25 21:33:13,2020-07-25 21:38:25,IP Address,75.72.86.172,100,311,True,2020-07-25 21:38:25,R_3RrN64tyKreq5qY,,,,,45.0435028076171875,-93.482696533203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Divorced,English,< $60000,41-60,Democrat,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,Yes,No,No,9
2020-07-25 21:36:26,2020-07-25 21:41:33,IP Address,67.1.148.179,100,306,True,2020-07-25 21:41:33,R_2dov7nZ9SVateBu,,,,,32.2698974609375,-110.98529815673828125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,Yes,Single,English,< $60000,41-60,Republican,College degree,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,No,No,No,8
2020-07-25 21:41:54,2020-07-25 21:43:30,IP Address,65.60.213.70,100,96,True,2020-07-25 21:43:30,R_ROZGt185XUrxzJn,,,,,40.053497314453125,-83.01869964599609375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,College degree,Caucasian,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,,,,,,,,,,,8
2020-07-25 21:45:13,2020-07-25 21:47:43,IP Address,71.202.98.199,100,150,True,2020-07-25 21:47:43,R_1jGMiCj0NOPkti9,,,,,37.5625,-122.000396728515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,$60000 - $150000,21-40,Democrat,College degree,Asian,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,,,,,,,,,,,6
2020-07-25 21:43:56,2020-07-25 21:49:35,IP Address,173.30.73.191,100,338,True,2020-07-25 21:49:35,R_ZkMr4EIWH7JeNa1,,,,,42.044097900390625,-91.6006011962890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Divorced,English,< $60000,61+,Democrat,Some college,Caucasian,Yes,,,,,,,,,,,No,Yes,No,No,No,No,Yes,No,No,No,7
2020-07-25 21:58:28,2020-07-25 22:01:18,IP Address,71.71.190.45,100,169,True,2020-07-25 22:01:18,R_2RTTHhRCCCnHNkd,,,,,35.313507080078125,-81.55989837646484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Democrat,Graduate degree,Caucasian,No,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,Yes,No,No,9
2020-07-25 22:20:23,2020-07-25 22:23:22,IP Address,73.33.74.127,100,178,True,2020-07-25 22:23:22,R_2RZYg5AXN2pR5Jn,,,,,40.7581939697265625,-74.99140167236328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,$60000 - $150000,21-40,Democrat,College degree,Asian,Yes,No,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,,,7
2020-07-25 22:32:55,2020-07-25 22:36:48,IP Address,98.196.228.105,100,232,True,2020-07-25 22:36:48,R_2U5DgkEV9bZg2Ih,,,,,29.9761962890625,-95.64009857177734375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Married,English,$60000 - $150000,41-60,Republican,Some college,Caucasian,No,,,,,,,,,,,No,Yes,No,Yes,Yes,No,No,No,No,No,6
2020-07-25 22:27:56,2020-07-25 22:37:48,IP Address,73.12.56.81,100,591,True,2020-07-25 22:37:48,R_3sbo1zeAfRep3Xc,,,,,36.5742034912109375,-79.44210052490234375,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Female,Yes,Yes,Yes,Single,English,< $60000,41-60,Republican,Some college,Black / African,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,,5
2020-07-25 23:16:23,2020-07-25 23:19:36,IP Address,69.124.114.249,100,193,True,2020-07-25 23:19:36,R_24ctZ8hONcWlTku,,,,,40.6461944580078125,-73.955902099609375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,No,Married,English,< $60000,21-40,Democrat,Graduate degree,Hispanic / Latinx,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,,,,,,,,,,,8
2020-07-26 00:04:44,2020-07-26 00:07:34,IP Address,23.125.192.243,100,169,True,2020-07-26 00:07:34,R_3G7jl4c9VJx62d9,,,,,35.4875030517578125,-80.98760223388671875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,< $60000,41-60,Other,College degree,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,Yes,No,No,9
2020-07-26 00:19:22,2020-07-26 00:23:10,IP Address,67.249.189.129,100,227,True,2020-07-26 00:23:10,R_3pgK5yjxbgVtFvx,,,,,43.045501708984375,-74.85980224609375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,No,Married,English,< $60000,61+,Other,College degree,Caucasian,No,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,8
2020-07-26 00:29:14,2020-07-26 00:34:43,IP Address,105.230.30.18,100,328,True,2020-07-26 00:34:43,R_3mfOoUuhCly2yOi,,,,,1,38,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,Graduate degree,Caucasian,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,5
2020-07-26 00:48:21,2020-07-26 00:50:29,IP Address,98.144.251.73,100,128,True,2020-07-26 00:50:30,R_3HzVFrMrQc9RUZc,,,,,42.889495849609375,-87.90740203857421875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,Yes,Single,English,< $60000,21-40,Democrat,Graduate degree,Caucasian,Yes,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,6
2020-07-26 01:10:23,2020-07-26 01:13:02,IP Address,104.63.94.49,100,159,True,2020-07-26 01:13:02,R_1oorjElJZSIssRW,,,,,42.615997314453125,-83.9250030517578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Democrat,Graduate degree,Caucasian,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,9
2020-07-26 02:00:07,2020-07-26 02:02:58,IP Address,184.170.247.2,100,170,True,2020-07-26 02:02:58,R_27NEab75PBIJzK3,,,,,33.4412994384765625,-112.0420989990234375,anonymous,EN,0.299999999999999988897769753748434595763683319091796875,Male,Yes,No,No,Single,English,$60000 - $150000,21-40,Other,Some college,Caucasian,No,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,10
2020-07-26 02:10:17,2020-07-26 02:14:12,IP Address,87.158.138.172,100,234,True,2020-07-26 02:14:13,R_1GN3NgZQfU2JahL,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Democrat,College degree,Caucasian,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,,7
2020-07-26 03:34:33,2020-07-26 03:36:47,IP Address,73.149.134.147,100,134,True,2020-07-26 03:36:47,R_12ccR07AROi0xfH,,,,,43.3656005859375,-72.34420013427734375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,College degree,Caucasian,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,,,,,,,,,,7
2020-07-26 03:52:04,2020-07-26 03:54:35,IP Address,87.116.165.91,100,151,True,2020-07-26 03:54:36,R_1KllJ91adENrDUv,,,,,44.8166046142578125,20.47210693359375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Other,College degree,Asian,Yes,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,Yes,No,No,9
2020-07-26 04:17:18,2020-07-26 04:20:56,IP Address,74.96.236.145,100,217,True,2020-07-26 04:20:56,R_0kZrhV059yz3pLj,,,,,38.886505126953125,-77.09110260009765625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Republican,College degree,Caucasian,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,,,,,,,,,,,7
2020-07-26 04:17:33,2020-07-26 04:21:08,IP Address,173.22.219.224,100,215,True,2020-07-26 04:21:08,R_aftxlJUw5DZ16xP,,,,,37.7241058349609375,-88.9300994873046875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,Yes,Married,English,< $60000,21-40,Republican,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,8
2020-07-26 04:41:16,2020-07-26 04:44:17,IP Address,24.187.115.38,100,180,True,2020-07-26 04:44:17,R_1ltwAoiF5aqwYQA,,,,,40.90570068359375,-74.07900238037109375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Divorced,English,< $60000,21-40,Other,College degree,Asian,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,,,,,,,,,,8
2020-07-26 05:06:47,2020-07-26 05:09:32,IP Address,75.190.204.157,100,165,True,2020-07-26 05:09:32,R_0ex3xHJ0fmqRmWl,,,,,35.4010009765625,-80.86879730224609375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,$150000 - $250000,41-60,Democrat,Graduate degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,No,No,Yes,7
2020-07-26 05:11:27,2020-07-26 05:14:07,IP Address,73.119.242.192,100,159,True,2020-07-26 05:14:07,R_CfzjDXWE3XeAlcl,,,,,43.0110015869140625,-71.45709991455078125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,Some college,Caucasian,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,,8
2020-07-26 05:17:43,2020-07-26 05:21:09,IP Address,148.74.67.218,100,205,True,2020-07-26 05:21:09,R_2EAyw3OAYF9pcyQ,,,,,40.697296142578125,-73.3271026611328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Democrat,Some college,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,No,No,No,8
2020-07-26 05:25:25,2020-07-26 05:27:22,IP Address,72.192.23.254,100,117,True,2020-07-26 05:27:23,R_1KeTRxwpieFD38D,,,,,41.7689056396484375,-71.475799560546875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,< $60000,41-60,Other,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,No,No,No,9
2020-07-26 05:31:38,2020-07-26 05:35:32,IP Address,99.101.100.7,100,233,True,2020-07-26 05:35:32,R_32JREWUEmPeMJ2j,,,,,35.0489959716796875,-89.95189666748046875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,No,Single,English,< $60000,21-40,Other,High school graduate,Caucasian,No,No,Yes,No,No,No,No,Yes,No,No,No,,,,,,,,,,,7
2020-07-26 05:52:21,2020-07-26 05:56:08,IP Address,75.71.58.204,100,226,True,2020-07-26 05:56:08,R_ZdF0UiUyxyVAwTL,,,,,39.82940673828125,-104.9095001220703125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Republican,College degree,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,No,No,No,8
2020-07-26 05:56:52,2020-07-26 05:59:41,IP Address,45.36.197.51,100,168,True,2020-07-26 05:59:41,R_1IXEAATqs3FB0MI,,,,,36.1277008056640625,-80.6529998779296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,High school graduate,Caucasian,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,8
2020-07-26 06:29:54,2020-07-26 06:33:46,IP Address,75.166.251.7,100,231,True,2020-07-26 06:33:46,R_U9BbJfIj5aQ0Jgt,,,,,39.7743988037109375,-105.097198486328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,< $60000,41-60,Democrat,Some college,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,9
2020-07-26 06:36:12,2020-07-26 06:40:04,IP Address,174.126.143.151,100,231,True,2020-07-26 06:40:04,R_2QxQ7Ksg9IXW87M,,,,,33.4795989990234375,-88.3527984619140625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,$60000 - $150000,41-60,Republican,College degree,Caucasian,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,,,,,,,,,,,6
2020-07-26 06:49:20,2020-07-26 06:51:47,IP Address,71.223.89.34,100,147,True,2020-07-26 06:51:48,R_1ogJG2sHwzMwDqD,,,,,33.591705322265625,-112.11309814453125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Republican,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,No,No,No,No,Yes,No,7
2020-07-26 06:53:21,2020-07-26 06:56:01,IP Address,75.97.234.178,100,159,True,2020-07-26 06:56:02,R_2OI2bzTNuk9XPXH,,,,,40.8325042724609375,-75.7014007568359375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,No,Yes,Married,English,< $60000,41-60,Other,Some college,Caucasian,Yes,,,,,,,,,,,No,No,No,Yes,No,No,Yes,Yes,No,No,8
2020-07-26 06:52:55,2020-07-26 06:57:09,IP Address,76.120.247.41,100,253,True,2020-07-26 06:57:09,R_10Mz29C0TFA0fNk,,,,,37.1793975830078125,-77.38580322265625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,No,Yes,Single,English,$60000 - $150000,41-60,Democrat,High school graduate,Black / African,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,7
2020-07-26 07:03:43,2020-07-26 07:05:43,IP Address,72.28.171.16,100,119,True,2020-07-26 07:05:43,R_eDxmA2niuXzbAop,,,,,33.5077056884765625,-81.6876983642578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,< $60000,21-40,Other,College degree,Other,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,,,,,,,,,,7
2020-07-26 07:27:12,2020-07-26 07:29:13,IP Address,75.76.112.24,100,121,True,2020-07-26 07:29:13,R_2pYbj1aJGGisNeU,,,,,27.7888946533203125,-82.71920013427734375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Single,English,< $60000,21-40,Republican,Some college,Caucasian,Yes,,,,,,,,,,,No,Yes,No,No,No,No,Yes,No,No,No,7
2020-07-26 07:31:50,2020-07-26 07:34:54,IP Address,98.110.212.14,100,183,True,2020-07-26 07:34:54,R_2rMcmamOGaj9fV5,,,,,42.578094482421875,-71.80500030517578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,College degree,Caucasian,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,,6
2020-07-26 07:31:52,2020-07-26 07:35:06,IP Address,98.242.173.176,100,194,True,2020-07-26 07:35:06,R_2CkUJVM43kOx5d8,,,,,26.1136016845703125,-80.22820281982421875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Divorced,English,$60000 - $150000,41-60,Republican,Graduate degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,6
2020-07-26 07:42:13,2020-07-26 07:44:42,IP Address,166.216.159.183,100,148,True,2020-07-26 07:44:43,R_1KdmEyTVcRd7iMx,,,,,42.4248046875,-83.195098876953125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,Yes,Single,English,$60000 - $150000,21-40,Republican,College degree,Caucasian,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,,7
2020-07-26 07:43:13,2020-07-26 07:45:48,IP Address,35.136.193.26,100,155,True,2020-07-26 07:45:48,R_O3Ejaip443cxPdD,,,,,28.92840576171875,-82.49210357666015625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,< $60000,41-60,Republican,Some college,Caucasian,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,,,,,,,,,6
2020-07-26 07:46:27,2020-07-26 07:53:36,IP Address,73.236.40.189,100,428,True,2020-07-26 07:53:36,R_1j8kOsnUfStgbjg,,,,,41.0265960693359375,-80.34980010986328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,< $60000,41-60,Democrat,Some college,Caucasian,Yes,,,,,,,,,,,No,Yes,No,No,No,No,Yes,Yes,No,No,8
2020-07-26 08:11:05,2020-07-26 08:13:36,IP Address,98.127.84.144,100,151,True,2020-07-26 08:13:36,R_1hXfo2HGPW19g7T,,,,,41.438995361328125,-105.80100250244140625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,College degree,Asian,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,8
