StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q38,Q39,Q37,Q40,Q36,Q3,Q4,Q5,Q6,Q7,8B,9B,10B,11B,12B,13B,14B,15B,16B,17B,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,SC0
2020-07-26 14:01:35,2020-07-26 14:04:45,IP Address,24.4.4.159,100,189,True,2020-07-26 14:04:45,R_2sTmDtGQ0nMEJYI,,,,,37.341705322265625,-121.9752960205078125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Married,English,$60000 - $150000,21-40,Democrat,Graduate degree,Asian,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,,,,,,,,,,7
2020-07-26 15:50:23,2020-07-26 15:53:07,IP Address,73.15.209.123,100,164,True,2020-07-26 15:53:07,R_1M5TAnAEci6fqS2,,,,,37.5625,-122.000396728515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Married,English,$150000 - $250000,21-40,Democrat,Graduate degree,Asian,Yes,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,Yes,No,No,9
2020-07-26 17:26:11,2020-07-26 18:48:13,IP Address,63.246.134.96,100,4922,True,2020-07-26 18:48:14,R_3MhYUpRT7ChV5pA,,,,,39.2510986328125,-107.20439910888671875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,Yes,Single,English,$150000 - $250000,21-40,Democrat,Graduate degree,Caucasian,No,,,,,,,,,,,No,Yes,No,No,No,No,Yes,Yes,No,No,8
2020-07-26 19:47:34,2020-07-26 19:50:59,IP Address,72.12.72.102,100,205,True,2020-07-26 19:50:59,R_3Gfxrj0Jq4QJlIt,,,,,44.374298095703125,-70.4514007568359375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,Yes,Married,English,> $250000,41-60,Democrat,Graduate degree,Asian,No,No,No,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,,7
2020-07-26 19:52:36,2020-07-26 19:57:09,IP Address,136.57.164.206,100,273,True,2020-07-26 19:57:10,R_2rpRHktfg6IKbJK,,,,,35.291595458984375,-80.820098876953125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,$60000 - $150000,21-40,Democrat,College degree,Caucasian,No,No,Yes,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,,8
2020-07-26 20:00:42,2020-07-26 20:03:38,IP Address,47.149.105.87,100,176,True,2020-07-26 20:03:38,R_SWabdI9uiXOtwaJ,,,,,34.039306640625,-117.1725006103515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,$60000 - $150000,21-40,Democrat,Graduate degree,Hispanic / Latinx,No,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,No,No,No,9
2020-07-26 19:55:40,2020-07-26 20:04:46,IP Address,108.95.4.25,100,546,True,2020-07-26 20:04:46,R_PCBUyVY3fjIpMwp,,,,,32.80029296875,-117.243804931640625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,$150000 - $250000,41-60,Other,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,Yes,No,No,9
2020-07-26 20:01:57,2020-07-26 20:04:47,IP Address,99.155.64.178,100,170,True,2020-07-26 20:04:47,R_87jTZdMMXhMUCkx,,,,,32.925994873046875,-96.9665985107421875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,$60000 - $150000,21-40,Democrat,Graduate degree,Hispanic / Latinx,No,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,8
2020-07-26 20:04:03,2020-07-26 20:06:13,IP Address,47.154.109.53,100,130,True,2020-07-26 20:06:13,R_28LLdyKUrJ57UCR,,,,,34.0084991455078125,-117.8135986328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Widowed,English,> $250000,61+,Republican,Less than high school,Caucasian,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,,,,,,,,,,,1
2020-07-26 20:01:23,2020-07-26 20:11:46,IP Address,136.24.23.150,100,622,True,2020-07-26 20:11:46,R_9uhdnqreGx4OzbH,,,,,37.769500732421875,-122.3849945068359375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Married,Other,> $250000,41-60,Democrat,Graduate degree,Asian,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,,8
2020-07-26 20:25:22,2020-07-26 20:28:38,IP Address,17.150.208.175,100,196,True,2020-07-26 20:28:39,R_3PRGK8xqM8fWtCc,,,,,37.5337066650390625,-122.028900146484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Married,English,> $250000,41-60,Democrat,Graduate degree,Asian,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,,8
2020-07-26 20:24:14,2020-07-26 20:29:03,IP Address,76.14.182.99,100,289,True,2020-07-26 20:29:03,R_1F4BeWln1TDne6R,,,,,37.6537933349609375,-122.4257049560546875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,> $250000,21-40,Other,Graduate degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,8
2020-07-26 20:43:34,2020-07-26 20:48:18,IP Address,162.195.243.55,100,283,True,2020-07-26 20:48:18,R_vpBNSbRTsu1YJs5,,,,,37.294097900390625,-121.89959716796875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,$60000 - $150000,21-40,Other,Graduate degree,Asian,Yes,No,No,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,,7
2020-07-26 20:41:59,2020-07-26 20:52:07,IP Address,76.231.25.115,100,608,True,2020-07-26 20:52:07,R_2SuTmnkFoS6Ivoq,,,,,37.5625,-122.000396728515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,No,No,Married,English,> $250000,21-40,Democrat,Graduate degree,Asian,No,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,Yes,No,No,9
2020-07-26 20:55:39,2020-07-26 20:59:52,IP Address,136.52.125.199,100,252,True,2020-07-26 20:59:52,R_29msZrcmUDMLBmr,,,,,33.7389068603515625,-117.7480010986328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Divorced,English,< $60000,41-60,Other,Some college,Caucasian,Yes,,,,,,,,,,,Yes,No,No,Yes,No,No,Yes,No,No,No,8
2020-07-26 21:44:13,2020-07-26 21:46:55,IP Address,98.33.59.148,100,162,True,2020-07-26 21:46:55,R_3RggBWgPEUciHSO,,,,,37.7200927734375,-122.44139862060546875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Single,English,$150000 - $250000,21-40,Republican,College degree,Asian,Yes,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,No,No,No,8
2020-07-26 21:49:03,2020-07-26 21:57:40,IP Address,73.70.124.105,100,516,True,2020-07-26 21:57:40,R_2U4Tf5lqAkKlXMB,,,,,37.5659027099609375,-122.3661041259765625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,> $250000,41-60,Democrat,Graduate degree,Caucasian,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,,,,,,,,,,,7
2020-07-26 22:11:23,2020-07-26 22:14:45,IP Address,73.223.22.124,100,202,True,2020-07-26 22:14:45,R_32PXjsWspJVIqiD,,,,,37.347900390625,-121.85269927978515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Married,English,> $250000,21-40,Democrat,Graduate degree,Caucasian,Yes,No,Yes,No,No,No,No,No,Yes,No,No,,,,,,,,,,,7
2020-07-26 22:16:05,2020-07-26 22:19:43,IP Address,24.5.66.232,100,218,True,2020-07-26 22:19:44,R_OHJrpDR63ETIWbf,,,,,37.7505950927734375,-122.41210174560546875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Married,Other,$150000 - $250000,21-40,Other,Graduate degree,Caucasian,No,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,No,No,No,9
2020-07-26 22:27:36,2020-07-26 22:48:14,IP Address,157.131.165.124,100,1238,True,2020-07-26 22:48:15,R_24GFQSFuddB4Ix3,,,,,37.928497314453125,-121.6880950927734375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,,Yes,Yes,Yes,Married,English,> $250000,21-40,Democrat,College degree,Asian,Yes,No,No,No,No,No,No,Yes,Yes,No,No,,,,,,,,,,,7
2020-07-26 22:49:08,2020-07-26 22:51:44,IP Address,73.223.127.149,100,156,True,2020-07-26 22:51:44,R_26m3h3XXJyQDxg9,,,,,37.5659027099609375,-122.3661041259765625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Married,English,> $250000,21-40,Democrat,Graduate degree,Asian,Yes,,,,,,,,,,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,7
2020-07-26 23:04:20,2020-07-26 23:09:11,IP Address,72.222.232.198,100,290,True,2020-07-26 23:09:11,R_1LAQXt7SVmt94Ct,,,,,33.700103759765625,-111.88770294189453125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Married,English,> $250000,41-60,Republican,College degree,Asian,No,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,No,No,No,No,7
2020-07-27 06:34:57,2020-07-27 06:36:48,IP Address,108.20.173.173,100,110,True,2020-07-27 06:36:48,R_1gu9zZNBKx4cByr,,,,,42.310394287109375,-71.27410125732421875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,> $250000,41-60,Republican,College degree,Caucasian,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,,,,,,,,,,,8
2020-07-27 06:38:04,2020-07-27 06:40:14,IP Address,220.245.79.205,100,129,True,2020-07-27 06:40:15,R_2zkbmnsCNWXW0tv,,,,,-33.859100341796875,151.2001953125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,No,Single,English,$60000 - $150000,0-20,Other,High school graduate,Caucasian,Yes,,,,,,,,,,,No,Yes,No,No,No,No,Yes,Yes,No,No,8
2020-07-27 07:07:53,2020-07-27 07:12:25,IP Address,173.56.241.139,100,271,True,2020-07-27 07:12:25,R_PYGittnpgEq2STT,,,,,40.7427978515625,-73.97119903564453125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,$60000 - $150000,21-40,Democrat,College degree,Asian,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,,,,8
2020-07-27 07:29:32,2020-07-27 07:33:01,IP Address,71.198.173.42,100,208,True,2020-07-27 07:33:01,R_yTJ6tFIMarNg7Yt,,,,,37.9268951416015625,-122.331298828125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,Yes,Yes,Married,English,$150000 - $250000,41-60,Democrat,Graduate degree,Caucasian,No,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,9
2020-07-27 07:54:21,2020-07-27 07:55:58,IP Address,73.100.17.197,100,97,True,2020-07-27 07:55:58,R_2a93TKYmWd2W3m2,,,,,42.3291015625,-71.1815032958984375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,$150000 - $250000,21-40,Democrat,College degree,Caucasian,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,,,,,,,,,,,8
2020-07-27 08:29:27,2020-07-27 08:34:03,IP Address,163.114.132.3,100,275,True,2020-07-27 08:34:03,R_DdS1n6VtnwrGvuh,,,,,37.4828033447265625,-122.2144012451171875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Single,English,$60000 - $150000,21-40,Other,Graduate degree,Asian,No,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,Yes,No,No,9
2020-07-27 09:18:49,2020-07-27 09:21:19,IP Address,174.204.77.6,100,149,True,2020-07-27 09:21:19,R_1mpX8jRgZkPWiIv,,,,,47.4972991943359375,-122.355499267578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,$150000 - $250000,21-40,Democrat,College degree,Caucasian,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,10
2020-07-27 09:34:59,2020-07-27 09:38:06,IP Address,69.181.36.22,100,186,True,2020-07-27 09:38:06,R_Xj657FMQhX2pvrP,,,,,37.89190673828125,-122.2635955810546875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,$150000 - $250000,21-40,Democrat,College degree,Caucasian,No,No,No,No,No,Yes,No,Yes,No,No,Yes,,,,,,,,,,,4
2020-07-27 10:19:07,2020-07-27 10:22:18,IP Address,99.8.66.40,100,190,True,2020-07-27 10:22:18,R_3ElGjhxhnEEF1dW,,,,,37.813507080078125,-121.9658050537109375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,No,Yes,Single,English,< $60000,21-40,Democrat,College degree,Caucasian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,10
2020-07-27 11:16:00,2020-07-27 11:20:54,IP Address,184.103.156.208,100,294,True,2020-07-27 11:20:54,R_6DLf6asvsWTe6gV,,,,,33.636199951171875,-112.09079742431640625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,No,No,Married,Chinese,$150000 - $250000,21-40,Other,Graduate degree,Asian,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,,8
2020-07-27 11:19:08,2020-07-27 11:22:48,IP Address,73.25.26.126,100,220,True,2020-07-27 11:22:49,R_1Ic6sEIEwAtfnXs,,,,,45.46099853515625,-122.7052001953125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Married,English,> $250000,21-40,Democrat,Graduate degree,Asian,Yes,,,,,,,,,,,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,4
2020-07-27 11:24:13,2020-07-27 11:27:18,IP Address,24.46.212.90,100,185,True,2020-07-27 11:27:18,R_3J1MvMCwNtnXT7u,,,,,40.6649932861328125,-73.952301025390625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,< $60000,21-40,Democrat,College degree,Caucasian,No,No,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,,,7
2020-07-27 11:33:02,2020-07-27 11:36:35,IP Address,70.112.171.204,100,213,True,2020-07-27 11:36:35,R_1pEvS4Esl9RhtK1,,,,,30.3773040771484375,-97.70999908447265625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,Yes,Single,English,$150000 - $250000,21-40,Democrat,Graduate degree,Caucasian,Yes,,,,,,,,,,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,8
2020-07-27 11:41:16,2020-07-27 11:43:17,IP Address,73.105.24.144,100,121,True,2020-07-27 11:43:17,R_1NzwoT4HYaiAs9U,,,,,30.1172027587890625,-81.41190338134765625,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Female,Yes,No,No,Single,English,$60000 - $150000,0-20,Democrat,Some college,Asian,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,,,,8
2020-07-27 11:53:06,2020-07-27 11:57:50,IP Address,73.105.39.47,100,284,True,2020-07-27 11:57:50,R_3pbeRQcjNsBtfyU,,,,,29.9474945068359375,-81.526397705078125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,No,No,Single,English,$150000 - $250000,0-20,Republican,College degree,Asian,Yes,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,Yes,No,No,9
2020-07-27 12:33:37,2020-07-27 12:37:08,IP Address,208.92.45.7,100,211,True,2020-07-27 12:37:08,R_3O8H5Vg2yxHCx7F,,,,,40.6876983642578125,-73.92669677734375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,No,Married,English,> $250000,21-40,Democrat,College degree,Caucasian,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,9
2020-07-27 13:02:21,2020-07-27 13:06:03,IP Address,74.64.206.46,100,222,True,2020-07-27 13:06:03,R_2mBRwRFyfqrgLFn,,,,,40.7819976806640625,-73.99530029296875,anonymous,EN,0.299999999999999988897769753748434595763683319091796875,Male,Yes,Yes,Yes,Single,English,$60000 - $150000,21-40,Democrat,College degree,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,No,No,Yes,Yes,No,No,9
2020-07-27 13:18:37,2020-07-27 13:22:11,IP Address,5.68.142.2,100,214,True,2020-07-27 13:22:11,R_2vjGm07XuOZ3Y4p,,,,,51.523895263671875,0.5764007568359375,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Male,No,No,No,Single,English,< $60000,0-20,Other,Some college,Caucasian,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,,,,8
2020-07-27 14:09:11,2020-07-27 14:12:08,IP Address,47.186.80.164,100,176,True,2020-07-27 14:12:08,R_2sSditymScGhDgn,,,,,33.003204345703125,-96.54340362548828125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,Yes,No,Married,English,$150000 - $250000,41-60,Other,Graduate degree,Asian,Yes,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5
2020-07-27 16:13:10,2020-07-27 16:16:20,IP Address,192.55.54.38,100,189,True,2020-07-27 16:16:20,R_AnwcOpV6pJhdik9,,,,,33.4532012939453125,-112.074798583984375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,No,No,Married,English,< $60000,21-40,Democrat,Graduate degree,Asian,No,No,No,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,8
