StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,8B,9B,10B,11B,12B,13B,14B,15B,16B,17B,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A
7/17/20 20:53,7/17/20 20:59,IP Address,71.84.24.228,100,337,True,7/17/20 20:59,R_1BReroc7mcUuy7L,,,,,35.26119995,-120.6549988,anonymous,EN,0.9,Female,Yes,0-20,Democrat,Some college,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
7/17/20 21:02,7/17/20 21:06,IP Address,67.188.128.89,100,217,True,7/17/20 21:06,R_1PR9nClxFuFf4hq,,,,,36.68080139,-121.6164017,anonymous,EN,0.9,Female,Yes,61+,Other,Graduate degree,Caucasian,No,No,No,No,Yes,No,No,No,Yes,No,No,,,,,,,,,,
7/17/20 21:04,7/17/20 21:08,IP Address,71.84.24.228,100,249,True,7/17/20 21:08,R_yPd0xFUHgXfmVhf,,,,,35.26119995,-120.6549988,anonymous,EN,0.9,Female,Yes,0-20,Democrat,High school graduate,Hispanic / Latinx,Yes,,,,,,,,,,,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
7/17/20 20:51,7/17/20 21:22,IP Address,71.198.76.46,100,1850,True,7/17/20 21:22,R_3OiAJtAfOt790Vr,,,,,36.6703949,-121.6591949,anonymous,EN,0.9,Male,Yes,21-40,Republican,College degree,Caucasian,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,,,,,,,,,,
7/17/20 22:19,7/17/20 22:25,IP Address,71.198.76.46,100,355,True,7/17/20 22:25,R_2uQzyHifWOC66b9,,,,,36.6703949,-121.6591949,anonymous,EN,0.9,Female,Yes,21-40,Republican,College degree,Caucasian,Yes,,,,,,,,,,,Yes,No,No,Yes,No,No,Yes,No,No,Yes
7/17/20 23:27,7/17/20 23:34,IP Address,73.241.227.24,100,411,True,7/17/20 23:34,R_1ohZxnYXRC49FXn,,,,,37.85670471,-122.0218048,anonymous,EN,0.9,Female,No,21-40,Democrat,Graduate degree,Asian,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,
7/18/20 8:20,7/18/20 8:25,IP Address,64.179.157.235,100,280,True,7/18/20 8:25,R_BXHbmZ7ntfkoa7T,,,,,44.49740601,-103.8668976,anonymous,EN,0.9,Female,Yes,21-40,Republican,Graduate degree,Caucasian,No,,,,,,,,,,,No,Yes,No,Yes,No,No,No,No,No,Yes
7/18/20 9:21,7/18/20 9:25,IP Address,71.80.241.79,100,194,True,7/18/20 9:25,R_1kMQ1WU7GwWtC9s,,,,,35.26119995,-120.6549988,anonymous,EN,0.9,Male,Yes,0-20,Republican,Some college,Caucasian,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,
7/18/20 21:11,7/18/20 21:20,IP Address,76.103.187.70,100,498,True,7/18/20 21:20,R_3iOLLqDtP1CwD6H,,,,,37.25990295,-121.917099,anonymous,EN,0.7,Female,No,21-40,Democrat,Graduate degree,Asian,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,,,,,,,,,,
7/18/20 21:22,7/18/20 21:31,IP Address,73.223.76.136,100,557,True,7/18/20 21:31,R_2ygsMO9QVCwhbTR,,,,,37.31770325,-121.9380035,anonymous,EN,0.9,Female,No,21-40,Other,Graduate degree,Asian,Yes,,,,,,,,,,,Yes,Yes,No,No,No,No,No,Yes,No,No
7/19/20 14:44,7/19/20 14:48,IP Address,98.210.122.31,100,227,True,7/19/20 14:48,R_3HH6GOeHfLNJFmL,,,,,37.35119629,-121.8845978,anonymous,EN,0.9,Female,No,21-40,Other,Graduate degree,Asian,Yes,Yes,,Yes,No,No,No,Yes,No,No,No,,,,,,,,,,
7/19/20 19:57,7/19/20 20:01,IP Address,98.210.122.31,100,245,True,7/19/20 20:01,R_3sv6y2PXzZ2oSBe,,,,,37.35119629,-121.8845978,anonymous,EN,0.9,Male,No,21-40,Other,Graduate degree,Asian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
7/19/20 22:47,7/19/20 22:51,IP Address,71.204.165.211,100,199,True,7/19/20 22:51,R_1q8rfaOZ6YlMjyc,,,,,37.34790039,-122.0350952,anonymous,EN,0.9,Male,Yes,41-60,Democrat,Graduate degree,Asian,No,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
7/20/20 16:51,7/20/20 16:55,IP Address,144.178.28.141,100,268,True,7/20/20 16:55,R_3QDTXtfcjGDnfT6,,,,,37.34790039,-121.8526993,anonymous,EN,0.9,Male,No,21-40,Democrat,College degree,Asian,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,,,
7/20/20 16:51,7/20/20 17:52,IP Address,17.234.58.134,100,3670,True,7/20/20 17:52,R_1MX1qmP6vVsoyn1,,,,,37.33880615,-121.8914032,anonymous,EN,0.9,Male,No,21-40,Other,Graduate degree,Asian,No,,,,,,,,,,,Yes,No,No,Yes,Yes,No,Yes,No,No,No
7/20/20 17:48,7/20/20 17:55,IP Address,17.115.11.58,100,422,True,7/20/20 17:55,R_7QicIpjLScfttLj,,,,,37.28210449,-121.8310013,anonymous,EN,0.9,Male,No,21-40,Other,Graduate degree,Asian,No,Yes,Yes,No,No,No,No,Yes,No,No,No,,,,,,,,,,
7/21/20 8:29,7/21/20 8:41,IP Address,174.196.146.40,100,676,True,7/21/20 8:41,R_2dBixvNlTAxR9NC,,,,,38.84280396,-77.08999634,anonymous,EN,0.9,Female,Yes,21-40,,Graduate degree,Asian,No,,,,,,,,,,,No,No,No,Yes,No,No,No,Yes,No,No
