StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,8B,9B,10B,11B,12B,13B,14B,15B,16B,17B,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A
2020-07-17 20:44:12,2020-07-17 20:48:26,IP Address,71.244.172.196,100,254,True,2020-07-17 20:48:26,R_2vjgdJ9ggRVQ4gw,,,,,39.1269073486328125,-76.697998046875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,21-40,Democrat,College degree,Caucasian,No,,,,,,,,,,,Yes,No,No,Yes,Yes,No,Yes,No,No,No
2020-07-17 20:53:37,2020-07-17 20:59:14,IP Address,71.84.24.228,100,337,True,2020-07-17 20:59:15,R_1BReroc7mcUuy7L,,,,,35.261199951171875,-120.654998779296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,0-20,Democrat,Some college,Caucasian,Yes,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
2020-07-17 21:02:55,2020-07-17 21:06:32,IP Address,67.188.128.89,100,217,True,2020-07-17 21:06:33,R_1PR9nClxFuFf4hq,,,,,36.6808013916015625,-121.61640167236328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,61+,Other,Graduate degree,Caucasian,No,No,No,No,Yes,No,No,No,Yes,No,No,,,,,,,,,,
2020-07-17 21:04:39,2020-07-17 21:08:49,IP Address,71.84.24.228,100,249,True,2020-07-17 21:08:49,R_yPd0xFUHgXfmVhf,,,,,35.261199951171875,-120.654998779296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,0-20,Democrat,High school graduate,Hispanic / Latinx,Yes,,,,,,,,,,,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
2020-07-17 20:51:30,2020-07-17 21:22:20,IP Address,71.198.76.46,100,1850,True,2020-07-17 21:22:20,R_3OiAJtAfOt790Vr,,,,,36.6703948974609375,-121.6591949462890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,21-40,Republican,College degree,Caucasian,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,,,,,,,,,,
2020-07-17 22:19:53,2020-07-17 22:25:48,IP Address,71.198.76.46,100,355,True,2020-07-17 22:25:48,R_2uQzyHifWOC66b9,,,,,36.6703948974609375,-121.6591949462890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,21-40,Republican,College degree,Caucasian,Yes,,,,,,,,,,,Yes,No,No,Yes,No,No,Yes,No,No,Yes
2020-07-17 23:27:18,2020-07-17 23:34:09,IP Address,73.241.227.24,100,411,True,2020-07-17 23:34:10,R_1ohZxnYXRC49FXn,,,,,37.8567047119140625,-122.0218048095703125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,21-40,Democrat,Graduate degree,Asian,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,
2020-07-18 08:20:36,2020-07-18 08:25:16,IP Address,64.179.157.235,100,280,True,2020-07-18 08:25:17,R_BXHbmZ7ntfkoa7T,,,,,44.497406005859375,-103.8668975830078125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,21-40,Republican,Graduate degree,Caucasian,No,,,,,,,,,,,No,Yes,No,Yes,No,No,No,No,No,Yes
2020-07-18 09:21:58,2020-07-18 09:25:12,IP Address,71.80.241.79,100,194,True,2020-07-18 09:25:12,R_1kMQ1WU7GwWtC9s,,,,,35.261199951171875,-120.654998779296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,0-20,Republican,Some college,Caucasian,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,,,,,,,,,
2020-07-18 21:11:59,2020-07-18 21:20:17,IP Address,76.103.187.70,100,498,True,2020-07-18 21:20:17,R_3iOLLqDtP1CwD6H,,,,,37.2599029541015625,-121.9170989990234375,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Female,No,21-40,Democrat,Graduate degree,Asian,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,,,,,,,,,,
2020-07-18 21:22:15,2020-07-18 21:31:32,IP Address,73.223.76.136,100,557,True,2020-07-18 21:31:32,R_2ygsMO9QVCwhbTR,,,,,37.3177032470703125,-121.9380035400390625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,21-40,Other,Graduate degree,Asian,Yes,,,,,,,,,,,Yes,Yes,No,No,No,No,No,Yes,No,No
2020-07-19 14:44:44,2020-07-19 14:48:32,IP Address,98.210.122.31,100,227,True,2020-07-19 14:48:32,R_3HH6GOeHfLNJFmL,,,,,37.3511962890625,-121.8845977783203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,No,21-40,Other,Graduate degree,Asian,Yes,Yes,,Yes,No,No,No,Yes,No,No,No,,,,,,,,,,
2020-07-19 19:57:04,2020-07-19 20:01:10,IP Address,98.210.122.31,100,245,True,2020-07-19 20:01:10,R_3sv6y2PXzZ2oSBe,,,,,37.3511962890625,-121.8845977783203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,21-40,Other,Graduate degree,Asian,Yes,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
2020-07-19 22:47:57,2020-07-19 22:51:16,IP Address,71.204.165.211,100,199,True,2020-07-19 22:51:16,R_1q8rfaOZ6YlMjyc,,,,,37.347900390625,-122.03509521484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,Yes,41-60,Democrat,Graduate degree,Asian,No,,,,,,,,,,,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
2020-07-20 16:51:07,2020-07-20 16:55:35,IP Address,144.178.28.141,100,268,True,2020-07-20 16:55:35,R_3QDTXtfcjGDnfT6,,,,,37.347900390625,-121.85269927978515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,21-40,Democrat,College degree,Asian,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,,,
2020-07-20 16:51:17,2020-07-20 17:52:28,IP Address,17.234.58.134,100,3670,True,2020-07-20 17:52:28,R_1MX1qmP6vVsoyn1,,,,,37.33880615234375,-121.8914031982421875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,21-40,Other,Graduate degree,Asian,No,,,,,,,,,,,Yes,No,No,Yes,Yes,No,Yes,No,No,No
2020-07-20 17:48:45,2020-07-20 17:55:48,IP Address,17.115.11.58,100,422,True,2020-07-20 17:55:49,R_7QicIpjLScfttLj,,,,,37.2821044921875,-121.83100128173828125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Male,No,21-40,Other,Graduate degree,Asian,No,Yes,Yes,No,No,No,No,Yes,No,No,No,,,,,,,,,,
2020-07-21 08:29:49,2020-07-21 08:41:05,IP Address,174.196.146.40,100,676,True,2020-07-21 08:41:05,R_2dBixvNlTAxR9NC,,,,,38.842803955078125,-77.089996337890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Female,Yes,21-40,,Graduate degree,Asian,No,,,,,,,,,,,No,No,No,Yes,No,No,No,Yes,No,No
